Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BK 18,Flatlands/Canarsie,Community District,"$1,270","$1,330","$1,310","$1,340","$1,330","$1,340","$1,350","$1,420","$1,370","$1,430","$1,460","$1,470","$1,510","$1,480"
MN 01,Financial District,Community District,"$2,250","$2,320","$2,340","$2,460","$2,560","$2,520","$2,590","$2,650","$2,770","$2,880","$2,720","$2,700","$2,730","$2,840"
MN 02,Greenwich Village/Soho,Community District,"$2,250","$2,320","$2,340","$2,460","$2,560","$2,520","$2,590","$2,650","$2,770","$2,880","$2,720","$2,700","$2,730","$2,840"
MN 03,Lower East Side/Chinatown,Community District,$990,$920,$900,"$1,040","$1,080","$1,000","$1,180","$1,050","$1,110","$1,170","$1,130","$1,180","$1,180","$1,070"
MN 04,Clinton/Chelsea,Community District,"$1,840","$1,770","$1,810","$2,010","$1,910","$2,070","$2,240","$2,460","$2,410","$2,380","$2,400","$2,220","$2,160","$2,040"
MN 05,Midtown,Community District,"$1,840","$1,770","$1,810","$2,010","$1,910","$2,070","$2,240","$2,460","$2,410","$2,380","$2,400","$2,220","$2,160","$2,040"
MN 06,Stuyvesant Town/Turtle Bay,Community District,"$2,010","$2,190","$2,170","$2,270","$2,240","$2,240","$2,310","$2,530","$2,340","$2,650","$2,720","$2,580","$2,530","$2,830"
MN 07,Upper West Side,Community District,"$1,710","$1,850","$1,800","$2,040","$1,790","$2,080","$1,870","$1,960","$1,920","$1,960","$2,320","$2,020","$2,300","$2,020"
MN 08,Upper East Side,Community District,"$2,030","$2,140","$2,150","$2,120","$2,090","$2,110","$2,190","$2,160","$2,280","$2,270","$2,420","$2,460","$2,380","$2,400"
MN 09,Morningside Heights/Hamilton,Community District,"$1,020","$1,160","$1,220","$1,240","$1,170","$1,230","$1,260","$1,310","$1,330","$1,430","$1,330","$1,320","$1,570","$1,530"
MN 10,Central Harlem,Community District,$830,$890,$880,$880,$930,$980,$980,$990,"$1,060","$1,130","$1,070","$1,100","$1,180","$1,260"
MN 11,East Harlem,Community District,$720,$750,$770,$850,$940,$920,"$1,040",$960,$940,$850,$940,$940,"$1,060",$910
MN 12,Washington Heights/Inwood,Community District,"$1,070","$1,110","$1,130","$1,170","$1,220","$1,250","$1,200","$1,240","$1,330","$1,350","$1,400","$1,340","$1,430","$1,340"
QN 01,Astoria,Community District,"$1,310","$1,320","$1,360","$1,430","$1,500","$1,480","$1,530","$1,520","$1,610","$1,650","$1,640","$1,730","$1,750","$1,810"
QN 02,Woodside/Sunnyside,Community District,"$1,370","$1,440","$1,370","$1,470","$1,520","$1,540","$1,560","$1,570","$1,690","$1,720","$1,690","$1,700","$1,790","$1,850"
QN 03,Jackson Heights,Community District,"$1,400","$1,450","$1,380","$1,420","$1,420","$1,440","$1,480","$1,490","$1,510","$1,520","$1,580","$1,590","$1,660","$1,670"
QN 04,Elmhurst/Corona,Community District,"$1,390","$1,400","$1,390","$1,470","$1,460","$1,470","$1,470","$1,490","$1,510","$1,550","$1,500","$1,540","$1,650","$1,660"
QN 05,Ridgewood/Maspeth,Community District,"$1,350","$1,370","$1,350","$1,400","$1,460","$1,400","$1,390","$1,380","$1,440","$1,550","$1,600","$1,540","$1,630","$1,700"
QN 06,Rego Park/Forest Hills,Community District,"$1,430","$1,510","$1,490","$1,510","$1,550","$1,590","$1,540","$1,600","$1,620","$1,670","$1,690","$1,740","$1,820","$1,810"
QN 07,Flushing/Whitestone,Community District,"$1,490","$1,470","$1,460","$1,510","$1,560","$1,520","$1,490","$1,490","$1,490","$1,540","$1,620","$1,560","$1,570","$1,590"
QN 08,Hillcrest/Fresh Meadows,Community District,"$1,360","$1,310","$1,380","$1,450","$1,390","$1,400","$1,450","$1,440","$1,470","$1,580","$1,630","$1,550","$1,570","$1,580"
QN 09,Kew Gardens/Woodhaven,Community District,"$1,420","$1,390","$1,400","$1,430","$1,430","$1,440","$1,490","$1,490","$1,530","$1,560","$1,580","$1,560","$1,680","$1,670"
QN 10,South Ozone Park/Howard Beach,Community District,"$1,490","$1,450","$1,480","$1,440","$1,520","$1,470","$1,460","$1,450","$1,510","$1,540","$1,550","$1,650","$1,760","$1,760"
QN 11,Bayside/Little Neck,Community District,"$1,530","$1,520","$1,650","$1,680","$1,660","$1,780","$1,740","$1,700","$1,760","$1,810","$1,750","$1,910","$2,010","$1,910"
QN 12,Jamaica/Hollis,Community District,"$1,190","$1,190","$1,200","$1,270","$1,300","$1,280","$1,280","$1,310","$1,320","$1,330","$1,340","$1,380","$1,380","$1,360"
QN 13,Queens Village,Community District,"$1,550","$1,560","$1,500","$1,570","$1,600","$1,660","$1,550","$1,550","$1,630","$1,640","$1,620","$1,690","$1,650","$1,770"
QN 14,Rockaway/Broad Channel,Community District,"$1,040",$980,"$1,090","$1,090","$1,070","$1,120","$1,090","$1,170","$1,100","$1,220","$1,120","$1,240","$1,280","$1,260"
SI 01,St. George/Stapleton,Community District,"$1,220","$1,300","$1,290","$1,220","$1,340","$1,250","$1,200","$1,180","$1,210","$1,270","$1,310","$1,260","$1,280","$1,230"
SI 02,South Beach/Willowbrook,Community District,"$1,330","$1,370","$1,260","$1,370","$1,250","$1,270","$1,210","$1,400","$1,250","$1,420","$1,410","$1,490","$1,340","$1,400"
SI 03,Tottenville/Great Kills,Community District,"$1,330","$1,390","$1,390","$1,450","$1,450","$1,320","$1,380","$1,360","$1,340","$1,280","$1,330","$1,460","$1,440","$1,420"
